audit_id,source_bucket,company,metric_id,metric_name,value,unit,status,source_class,period_start,period_end,accession,concept_or_section,context_or_dimension,evidence_value,evidence_unit,evidence_quote,audit_verdict,audit_notes
AUDIT_01,STD_XBRL_DERIVED,Marriott International,B01,Revenue,26186000000,USD,OK,STD_XBRL,2025-01-01,2025-12-31,0001048286-26-000007,Revenues,companyfacts:USD:CY2025,26186000000,USD,us-gaap:Revenues unit=USD accn=0001048286-26-000007 filed=2026-02-10,PASS,"value, period, accession, concept/section, and quote/concept align"
AUDIT_02,STD_XBRL_DERIVED,Marriott International,B02,Revenue YoY growth,0.04326693227091633466135458167,ratio,OK,DERIVED,2025-01-01,2025-12-31,0001048286-26-000007;0001628280-25-004818,Revenues+Revenues,companyfacts:USD:CY2025;companyfacts:USD:,0.04326693227091633466135458167,ratio,(Revenue_t - Revenue_t-1) / Revenue_t-1; components=Revenues=26186000000;Revenues=25100000000,PASS,"value, period, accession, concept/section, and quote/concept align"
AUDIT_03,STD_XBRL_DERIVED,Marriott International,B03,EBITDA margin,0.1756281982738868097456656229,ratio,OK,DERIVED,2025-01-01,2025-12-31,0001048286-26-000007;0001048286-26-000007;0001048286-26-000007;0001048286-26-000007,OperatingIncomeLoss+Depreciation+AmortizationOfIntangibleAssets+Revenues,companyfacts:USD:CY2025;companyfacts:USD:CY2025;companyfacts:USD:CY2025;companyfacts:USD:CY2025,0.1756281982738868097456656229,ratio,(Operating income + D&A) / revenue; components=OperatingIncomeLoss=4141000000;Depreciation=145000000;AmortizationOfIntangibleAssets=313000000;Revenues=26186000000,PASS,"value, period, accession, concept/section, and quote/concept align"
AUDIT_04,STD_XBRL_DERIVED,Marriott International,B04,Net income,2601000000,USD,OK,STD_XBRL,2025-01-01,2025-12-31,0001048286-26-000007,NetIncomeLoss,companyfacts:USD:CY2025,2601000000,USD,us-gaap:NetIncomeLoss unit=USD accn=0001048286-26-000007 filed=2026-02-10,PASS,"value, period, accession, concept/section, and quote/concept align"
AUDIT_05,STD_XBRL_DERIVED,Marriott International,B05,Free cash flow,2608000000,USD,OK,DERIVED,2025-01-01,2025-12-31,0001048286-26-000007;0001048286-26-000007,NetCashProvidedByUsedInOperatingActivities+PaymentsToAcquireProductiveAssets,companyfacts:USD:CY2025;companyfacts:USD:CY2025,2608000000,USD,operating cash flow - capital expenditures; components=NetCashProvidedByUsedInOperatingActivities=3212000000;PaymentsToAcquireProductiveAssets=604000000,PASS,"value, period, accession, concept/section, and quote/concept align"
AUDIT_06,STD_XBRL_DERIVED,Marriott International,B07,Interest coverage ratio,5.118665018541409147095179234,ratio,OK,DERIVED,2025-01-01,2025-12-31,0001048286-26-000007;0001048286-26-000007,OperatingIncomeLoss+InterestExpenseNonoperating,companyfacts:USD:CY2025;companyfacts:USD:CY2025,5.118665018541409147095179234,ratio,operating income / interest expense; components=OperatingIncomeLoss=4141000000;InterestExpenseNonoperating=809000000,PASS,"value, period, accession, concept/section, and quote/concept align"
AUDIT_07,STD_XBRL_DERIVED,Marriott International,B08,Current ratio,0.4267682781614670159561800429,ratio,OK,DERIVED,2025-12-31,2025-12-31,0001048286-26-000007;0001048286-26-000007,AssetsCurrent+LiabilitiesCurrent,companyfacts:USD:;companyfacts:USD:,0.4267682781614670159561800429,ratio,current assets / current liabilities; components=AssetsCurrent=3584000000;LiabilitiesCurrent=8398000000,PASS,"value, period, accession, concept/section, and quote/concept align"
AUDIT_08,STD_XBRL_DERIVED,Marriott International,B09,Cash reserves,358000000,USD,OK,STD_XBRL,2025-12-31,2025-12-31,0001048286-26-000007,CashAndCashEquivalentsAtCarryingValue,companyfacts:USD:,358000000,USD,us-gaap:CashAndCashEquivalentsAtCarryingValue unit=USD accn=0001048286-26-000007 filed=2026-02-10,PASS,"value, period, accession, concept/section, and quote/concept align"
AUDIT_09,DIM_XBRL,Marriott International,C04,Auditor changes,0,flag,DIM_XBRL_OK,DIM_XBRL,2025-01-01,2025-12-31,0001048286-26-000007,AuditorName,current/prior 10-K instance,0,flag,current=Ernst & Young LLP; prior=Ernst & Young LLP,PASS,"value, period, accession, concept/section, and quote/concept align"
AUDIT_10,DIM_XBRL,Southwest Airlines,C04,Auditor changes,0,flag,DIM_XBRL_OK,DIM_XBRL,2025-01-01,2025-12-31,0000092380-26-000004,AuditorName,current/prior 10-K instance,0,flag,current=Ernst & Young LLP; prior=Ernst & Young LLP,PASS,"value, period, accession, concept/section, and quote/concept align"
AUDIT_11,DIM_XBRL,Ford Motor Company,C04,Auditor changes,0,flag,DIM_XBRL_OK,DIM_XBRL,2025-01-01,2025-12-31,0000037996-26-000015,AuditorName,current/prior 10-K instance,0,flag,current=PricewaterhouseCoopers LLP; prior=PricewaterhouseCoopers LLP,PASS,"value, period, accession, concept/section, and quote/concept align"
AUDIT_12,DIM_XBRL,Pfizer,C04,Auditor changes,0,flag,DIM_XBRL_OK,DIM_XBRL,2025-01-01,2025-12-31,0000078003-26-000026,AuditorName,current/prior 10-K instance,0,flag,current=KPMG LLP; prior=KPMG LLP,PASS,"value, period, accession, concept/section, and quote/concept align"
AUDIT_13,DEF14A,Southwest Airlines,C03,Executive compensation signals,16587882,USD,DEF14A_OK,DEF14A,2025-01-01,2025-12-31,0001193125-26-127237,PeoTotalCompAmt,ecd:IndividualAxis=luv:RobertE.JordanMember,16587882,USD,ecd:PeoTotalCompAmt unit=iso4217:USD context=P01_01_2025To12_31_2025_RobertEJordanMemberecdIndividualAxis dimensions=ecd:IndividualAxis=luv:RobertE.JordanMember value=16587882,PASS,"value, period, accession, concept/section, and quote/concept align"
AUDIT_14,DEF14A,Ford Motor Company,C03,Executive compensation signals,27519558,USD,DEF14A_OK,DEF14A,2025-01-01,2025-12-31,0001552781-26-000164,PeoTotalCompAmt,,27519558,USD,ecd:PeoTotalCompAmt unit=iso4217:USD context=From2025-01-01to2025-12-31 dimensions= value=27519558,PASS,"value, period, accession, concept/section, and quote/concept align"
AUDIT_15,DEF14A,Pfizer,C03,Executive compensation signals,27585301,USD,DEF14A_OK,DEF14A,2025-01-01,2025-12-31,0000078003-26-000033,PeoTotalCompAmt,,27585301,USD,ecd:PeoTotalCompAmt unit=iso4217:USD context=c-1 dimensions= value=27585301,PASS,"value, period, accession, concept/section, and quote/concept align"
